,ID,Name,lon1,lat1,lon2,lat2
105,512f4498ece9543640594ebffa2e5b194540f00101f9018975680000000000c00207,Kriva Palanka,22.292676,42.1851897,22.357049,42.2230196
106,51f6590aed4155354059e29e9dc200ab4440f00101f90142ba450000000000c00207,Krivogashtani,21.3043247,41.3223672,21.3711557,41.360025
107,51ef004f5ab85c3540596b8f28fe39a44440f00101f90108c4450000000000c00208,Obrshani,21.354938,41.2719809,21.3896935,41.311285
108,51c6c37b0e2cdb35405909258227e30e4540f00101f901a236680000000000c00208,Klechevce,21.820561,42.0801648,21.8763583,42.145026
109,5114820b68d850354059a9dbd9571ea34440f00101f9019948620000000000c00208,Buchin,21.2814365,41.2266826,21.3372676,41.2851939
110,5128d53e1d8f3f35405907561f590aaf4440f00101f90135aab70000000000c00207,Krushevo,21.2366076,41.3629519,21.2555402,41.3811034
111,51a9da6e826fb2354059f56970b614124540f00103f9018c8f967800000000c00205920307426564696e6a65,Kumanovo,21.677014,42.1212571,21.717014,42.1612571
112,51e370e6577344314059ea2bfea5fb7c4640f00103f901d9689a9d00000000c00208920309526f6d616e6f766369,Romanovci,17.247385,44.9564297,17.287385,44.9964297
113,51313d06d094b2354059ef2df6a809c74440f00101f901dbdb670000000000c00208,Izvor,21.6740753,41.5307162,21.7481446,41.5737962
114,51819e61c504963540595bf6da221f144540f00101f90174316a0000000000c00208,Lipkovo,21.5544865,42.1451576,21.6477549,42.1828365
115,51e1fbd1263daa354059e80423e5dd1d4540f00101f9016f316a0000000000c00208,Lojane,21.6068177,42.2083354,21.6967861,42.2571402
116,5191cfd0e40799354059bb9fae4912104540f00101f90177316a0000000000c00208,Matejche,21.5097713,42.0975537,21.6468859,42.1444735
117,5157d11f9a7996354059582547f075124540f00101f90176316a0000000000c00208,Otlja,21.5047047,42.133081,21.6475457,42.1677772
118,517b33c577bda935405980160104621a4540f00101f90170316a0000000000c00208,Vaksince,21.6209583,42.1768239,21.7010125,42.2355398
119,51264e93beb5a035405976a4face2f164540f00101f90172316a0000000000c00208,Slupchane,21.6027689,42.1551431,21.672568,42.2087804
120,5190323dbc42e8354059bdf84784ebe34440f00101f9013e5f670000000000c00208,Lozovo,21.8834865,41.7717757,21.9348331,41.8236852
121,51383932456f37354059350a4966f5c04440f00101f9012ed8610000000000c00207,Makedonski Brod,21.1690182,41.4939218,21.2374771,41.5263051
122,5118e30d7a802635405958d581621ad74440f00101f901b906620000000000c00208,Samokov,21.0523783,41.6431935,21.1598402,41.6957514
123,5146e65e14baa83440592407ec6a72d24440f00101f9017be9270000000000c00208,Municipality of Mavrovo and Rostusha,20.5141507,41.4900778,20.902031,41.7983954
