,ID,Name,Lon,Lat,Formatted,Stars,Building,City_ID
18,51e9be9cd9ae70354059794a6c2343004540f00103f901411c6ce40000000092030cd0a1d183d0bbd182d0b0d0bd,Sultan,21.440168,42.0020489,"Sultan, Boulevard Krste Misirkov bb, 100 Skopje, North Macedonia",NR,unknown,513d64ca87a07035405905d0398952024540f00101f901c24c6a0000000000c00205
19,513dce3461fb71354059106d73fe81014540f00103f90165f3c31f0100000092030a416c626120486f74656c,Alba Hotel,21.445242,42.0117796,"Alba Hotel, Bulevard Cvetan Dimov, 100 Skopje, North Macedonia",NR,unknown,513d64ca87a07035405905d0398952024540f00101f901c24c6a0000000000c00205
20,519f1a2fdd2470354059223ccdae20004540f00103f9016066415801000000920313d0a5d0bed182d0b5d0bb20d090d0bbd0b5d0bd,Hotel Alen,21.4380625,42.0009974,"Hotel Aen, 191, 100 Skopje, North Macedonia",NR,unknown,513d64ca87a07035405905d0398952024540f00101f901c24c6a0000000000c00205
21,5181c52b5aca6f3540595c68ebd621004540f00103f901440b119601000000920302524d,RM,21.4366814,42.0010327,"RM, Leblebidziska, 100 Skopje, North Macedonia",NR,unknown,513d64ca87a07035405905d0398952024540f00101f901c24c6a0000000000c00205
22,514a8567f8057035405948cf86f2f4ff4440f00103f90192ec2896010000009203074465206b6f6b61,De koka,21.4375911,41.9996627,"De koka, Bitpazarska, 100 Skopje, North Macedonia",NR,unknown,513d64ca87a07035405905d0398952024540f00101f901c24c6a0000000000c00205
23,516464da482370354059e77bb6a915004540f00103f9011729602402000000920303446f61,Doa,21.4380384,42.0006611,"Doa, 190, 100 Skopje, North Macedonia",NR,unknown,513d64ca87a07035405905d0398952024540f00101f901c24c6a0000000000c00205
24,51b876a2242470354059d732c85345004540f00103f901902a60240200000092030653616e746f73,Santos,21.4380515,42.0021157,"Santos, Bojadziska, 100 Skopje, North Macedonia",NR,unknown,513d64ca87a07035405905d0398952024540f00101f901c24c6a0000000000c00205
25,5143fbfd07fd6f354059a12703ec48004540f00103f9010278d96801000000,Denis,21.4374547,42.0022254,"Denis, Saracka, 100 Skopje, North Macedonia",NR,unknown,513d64ca87a07035405905d0398952024540f00101f901c24c6a0000000000c00205
26,5154d7eb27ad6f3540599112e78d38004540f00103f9017962199501000000,BUSHI RESORT&SPA,21.4362359,42.0017259,"BUSHI RESORT&SPA, Kjurciska, 1111 Skopje, North Macedonia",NR,unknown,513d64ca87a07035405905d0398952024540f00101f901c24c6a0000000000c00205
27,51e82bccf651c5364059d1536f109dfb4440f00102f901fa65cb150000000092031fd0a5d0bed182d0b5d0bb20d09cd0b0d0bad0b5d0b4d0bed0bdd0b8d198d0b0,Hotel Makedonija,22.770781957543,41.96573075,"Hotel Macedonia, Marshal Tito, 2320 Delchevo, North Macedonia",NR,hotel,512571fb8adac6364059eb52c83ac1fb4440f00101f901c0a3680000000000c00207
28,5169f7f58df9bc3640596837a117eef44440f00103f901dea4ba1d00000000920321d09ed0b4d0bcd0b0d180d0b0d0bbd0b8d188d182d0b520d093d0bed0bbd0b0d0ba,Odmaraliste Golak,22.7381829,41.913516,"Resort Golak, R2343, 2320 Delchevo, North Macedonia",NR,unknown,512571fb8adac6364059eb52c83ac1fb4440f00101f901c0a3680000000000c00207
29,51e0cdbf023d813640592cb72cd1fe914440f00103f9016fc8798a0000000092030b486f6c696461792048616e,Holiday Han,22.5048372,41.1405889,"Holiday Han, Marshal Tito 110, 1480 Gevgelija, North Macedonia",NR,unknown,51ea72ef86d980364059b241cb5fc6914440f00101f9015a42630000000000c00207
